response,contrast,pedestal,temporal_frequency,spatial_frequency,size,eccentricity
1,-1.047176361,-0.211852551,14.28779221,6.986390114,6.447432995,0.53618592
1,-0.019883513,-1.002944708,3.490449429,1.785570145,1.390296102,8.954813004
1,-1.088527679,-0.946848989,17.23962402,4.372841358,8.900051117,0.252272725
1,-0.047376871,-0.27293849,5.538769245,2.666210413,4.985648155,9.333952904
1,-1.229638934,-0.722973585,11.72685528,0.513554811,1.009467125,5.964342117
0,-0.56270206,-1.432241797,0.96350044,5.71458292,6.121278763,4.381160259
0,-1.346119642,-1.151510119,3.762756824,6.556694508,8.844709396,7.082809925
1,-0.494743824,-0.442625046,13.3125124,1.397906065,3.770149708,3.665513992
0,-0.829877198,-0.17865324,9.578112602,3.509289503,3.243678093,1.700937986
0,-0.354184508,-0.852214396,17.56536865,5.256225109,7.12501812,7.619163513
1,-1.201918721,-0.75928092,14.93668652,2.508915663,5.604408741,6.42608881
1,-0.732142568,-0.085552335,2.929445505,3.820784569,1.670266867,2.969620705
1,-0.96820724,-0.535725951,19.17993164,5.960744858,4.446798325,2.279149055
1,-0.122656584,-1.244443655,8.735188484,1.179869413,9.574023247,8.237166405
1,-0.851691961,-1.339123726,6.539164066,1.949194074,7.659542561,0.9238711
0,-0.190648675,-0.630057216,15.78009129,6.714757919,2.56524086,9.965988159
0,-1.460626841,-0.365854859,1.954282522,4.590679169,4.291481972,5.370491028
1,-0.425278187,-1.03996706,10.25771046,3.262358904,8.18823719,3.827472925
1,-1.055121303,-1.03379786,1.162371635,5.075568676,1.312576771,2.553554773
1,-0.033728123,-0.371428967,11.6160202,3.594830036,6.380682468,6.634719849
1,-1.289423943,-0.624483109,5.33710289,1.623095036,9.159342766,8.731132507
0,-0.643722177,-1.345292926,17.35325241,6.236389637,5.288851738,2.149037361
0,-1.361770511,-1.250635386,17.68672562,5.431471348,2.949125767,9.471793175
1,-0.525782108,-0.530220747,9.388544083,0.904477417,6.857074261,1.054364085
1,-0.752691507,-0.091057539,13.18958282,2.790531397,8.576654434,4.243309975
1,-0.290931225,-0.75308907,3.953900337,4.356331348,3.475692034,5.162241459
1,-1.13060379,-0.846001148,8.553039551,3.030920982,4.749940872,8.893081665
1,-0.663018584,-0.184179902,19.31309319,4.93012619,9.833393097,0.436709076
1,-0.989728987,-0.437098384,3.10878253,6.889165878,5.863736153,4.900369644
0,-0.147823811,-1.157723427,14.80633736,1.882795453,1.973435163,5.857643604
1,-0.917324841,-1.438386798,10.15429497,1.049101591,3.996964931,3.146533489
1,-0.26582098,-0.717423797,2.164960146,5.996198654,7.920258045,7.189126968
1,-1.433068395,-0.278488278,15.88191414,4.097449303,7.3915205,8.060263634
1,-0.405781269,-0.940704107,6.330078125,2.136937141,2.270750046,1.516119957
0,-1.49933362,-0.997395098,12.57848263,6.450745106,8.296186447,7.718966007
1,-0.458165526,-0.217997074,4.633359432,1.503856182,4.318115234,1.762191296
1,-0.890621781,-0.660727501,18.413517,3.402592182,2.669328213,3.564705372
0,-0.223679304,-1.498883128,8.905893326,5.362921715,7.6999259,7.022409439
0,-0.958574295,-1.213773489,6.05534935,4.469223022,9.441372871,4.638620377
1,-0.107204199,-0.375966549,16.85961533,2.569828272,4.443767548,6.180438519
1,-1.192508817,-0.128124237,0.562258124,0.61077714,1.59527576,9.077918053
0,-0.716833353,-0.907138586,12.3040247,5.617361546,5.536028385,0.03459787
1,-0.814562201,-0.80982548,15.20368481,2.068588734,7.109371185,4.039962769
1,-0.344780207,-0.030612588,6.939949036,6.595362663,3.115953207,5.621944427
1,-1.330672979,-0.473478198,10.63817501,4.709321499,3.714385271,9.754475594
1,-0.485105157,-1.311086655,1.436939716,3.143717051,8.764793396,0.671592057
1,-1.262663722,-1.401388526,3.601207256,2.424392939,6.144083023,8.292370796
0,-0.601637721,-0.56339711,14.08930302,3.905308247,1.13113296,2.375387907
1,-1.12142086,-0.315327406,7.863822937,5.877054691,5.029860497,2.912943363
0,-0.086077929,-1.09488976,19.91441917,1.263558626,8.990421295,6.331475258
1,-1.276649356,-1.104254484,12.05217266,4.212601662,8.724136353,5.317164421
1,-0.610537052,-0.301602483,0.003418289,2.935847521,3.614403725,3.773369312
0,-1.042890787,-0.600925803,16.32470894,0.759389043,3.084093809,0.889312863
1,-0.001098156,-1.368220091,5.83845377,5.574973583,7.000610352,9.932178497
1,-0.782866418,-1.273952365,9.279649734,6.294372082,9.020083427,2.313573599
1,-0.306349277,-0.506275058,18.47906303,1.56352663,5.140818596,8.271109581
0,-1.391757011,-0.020887017,4.724059582,3.65427947,1.169592619,6.479587078
1,-0.541022897,-0.823888302,12.98597431,5.017705917,6.246262074,3.023552895
1,-1.013844252,-0.916822553,19.52111435,2.26794529,7.53841877,1.67630744
1,-0.168935299,-0.113988638,7.778766155,3.964854717,2.408946991,7.594976425
0,-1.154908299,-0.413173437,14.01810741,6.128617764,4.130250454,7.039105892
0,-0.684307575,-1.181018233,3.213258743,0.918268383,8.062179565,3.621337891
1,-1.414989471,-1.461338997,1.669248581,1.812041879,5.726090431,6.007912636
1,-0.378999114,-0.693842888,11.17751026,6.96150589,1.827084064,4.425469398
1,-0.898702741,-0.208685398,7.494366169,4.858057499,4.607471943,0.277074754
1,-0.238483906,-1.011135697,15.44012833,3.101403713,9.699556351,9.35796833
0,-0.855874956,-0.973436534,4.191123009,5.68791914,2.014085293,0.502233267
1,-0.209537268,-0.24130404,13.74352074,0.538631737,5.963715553,8.920417786
0,-1.465129972,-0.731536746,9.92835331,2.642092705,9.865246773,5.703399658
0,-0.444578409,-1.428725481,17.91825104,4.398545742,4.858700275,4.786145687
1,-1.209500551,-1.143959761,16.96486664,5.232115269,2.241094112,7.499962807
1,-0.748364806,-0.446433067,5.266654015,3.534986019,7.280564785,3.416817665
1,-0.975376785,-0.151041508,11.53022194,1.371234655,7.88180542,1.294765711
0,-0.138558149,-0.883568406,0.769509196,6.581779003,3.894788742,7.876409531
1,-1.353323817,-0.786234558,6.738049507,1.205772161,5.450352192,6.803612232
1,-0.510611296,-0.053551912,15.97183418,5.936429024,9.419721603,2.760554552
1,-0.83740139,-0.543922663,2.231291771,3.845663071,6.568540573,1.912616253
0,-0.37046361,-1.241293788,10.52757645,2.482450247,1.546580434,8.454772949
0,-1.093088508,-1.331207275,14.58869553,3.287245035,3.285636187,1.134115696
1,-0.066620111,-0.634231389,2.574311495,4.564206123,8.344848633,9.592168808
0,-1.233787298,-0.338609457,18.75381279,6.740653038,6.693376541,5.149254799
0,-0.581624627,-1.0709548,8.30192852,1.924885869,2.690944433,4.192752361
0,-1.402648568,-1.061367035,16.2452755,2.846182585,4.08841753,4.736970425
1,-0.554850578,-0.34093082,6.698981285,4.199117661,7.967782974,5.693895817
1,-0.793936074,-0.655347466,10.41039276,5.486891747,7.439594746,9.047636986
0,-0.320364952,-1.31735754,2.426598549,0.747494519,2.362751722,0.589771986
0,-1.049399853,-1.220160246,2.769629478,1.577010393,4.666710854,7.905364513
1,-0.016378403,-0.557767034,14.47150421,6.384037018,9.776548386,1.36340034
0,-1.283335209,-0.063145041,8.262871742,5.029600143,5.807440281,3.309666157
0,-0.626006961,-0.78393054,19.02724648,3.742361307,1.890754104,7.353141785
0,-0.911236525,-0.874119699,13.47007942,4.054525852,2.884023666,8.582076073
1,-0.248106003,-0.153132439,4.230191231,2.281422853,6.78319931,2.000243187
1,-1.427346587,-0.467779636,18.03543472,1.006343961,8.502229691,2.711467266
0,-0.388431549,-1.129971147,9.733046532,6.140518665,3.41004014,6.79419136
0,-1.171848774,-1.407362103,5.071335793,6.948028088,1.351844668,4.085665226
1,-0.69245255,-0.7455194,17.08205795,1.722370625,6.481490135,5.002502918
1,-1.030606627,-0.250758886,0.808565974,3.08950305,9.259600639,9.621192932
1,-0.176892281,-0.971362472,11.25678825,4.769981861,5.327569962,1.202814698
0,-0.96429497,-1.028053999,7.505325794,0.552131653,6.087220669,9.902617455
1,-0.124554396,-0.190268517,19.56018257,5.777569294,1.047919989,0.821303129
0,-1.198598266,-0.68882221,3.330442667,4.410449028,4.947196007,3.881135941
0,-0.734547853,-1.467857957,13.82280159,2.730164528,8.93410778,5.463389874
1,-1.458456278,-1.186022043,10.98219109,3.445335865,7.156878948,3.072113037
1,-0.429096341,-0.406648278,1.786439657,5.218615532,3.207422972,6.489686966
1,-0.8493765,-0.097076297,15.47918415,6.49370718,3.806403875,8.14449501
1,-0.194246054,-0.935256243,7.22093153,1.359331489,8.812849998,2.225410461
1,-1.221418023,-0.840667784,0.276858866,5.922935009,9.542163849,3.729021311
1,-0.572204351,-0.002700567,12.01310349,1.116115808,4.483052731,7.185242653
1,-1.080543995,-0.501023948,5.721269131,2.470541,1.634011269,7.565327168
1,-0.057008982,-1.280610561,16.52001572,3.757597446,5.636269569,1.608214378
1,-0.820651174,-1.373453736,18.67438126,4.653862476,8.222293854,9.231289864
1,-0.362494707,-0.594262362,9.16245842,3.300738811,4.2530303,0.188842341
0,-1.336394072,-0.284828424,12.94691849,2.012951374,2.603693485,4.473960876
1,-0.502455592,-1.122458339,4.997494221,6.752562523,7.625484467,6.017948151
0,-0.765060067,-1.085291147,7.135266781,3.608329296,5.659340382,6.875667095
1,-0.300352097,-0.317635298,15.08649349,5.165218353,1.751561522,3.457627535
0,-1.374315739,-0.584526777,1.3978827,6.2482934,4.53249836,1.830899835
1,-0.535392642,-1.38754952,10.9116087,1.711167693,9.633356094,7.748000145
1,-1.306174874,-1.289962411,14.36274433,0.814828038,7.578236103,0.122215264
0,-0.651690483,-0.487334728,3.562139273,5.417972088,2.510304451,9.205211639
1,-1.072050333,-0.040193558,19.79723358,4.268259048,4.232156754,6.17100811
1,-0.041884422,-0.807512164,8.059130669,2.778627634,8.102546692,4.589523792
1,-1.444149494,-0.897676289,4.43804121,4.916633129,9.113183022,0.74021703
1,-0.419785619,-0.130204558,12.69567394,2.941265345,5.189991474,9.783421516
1,-0.928227842,-0.397323728,8.944951057,1.870885372,1.218215823,5.475113869
1,-0.279637337,-1.199798346,18.14008331,6.801099777,6.338812828,3.932801723
0,-0.996403396,-1.47753191,16.58617401,6.085854053,8.640356064,6.321980953
1,-0.163305283,-0.674719453,6.094417095,1.062594652,3.557009459,2.863777161
0,-1.137101531,-0.227442622,12.42120838,2.225003481,3.026149511,2.462935925
0,-0.678310394,-0.995308876,0.366951376,4.109359264,6.916280746,8.419599533
1,-1.179975748,-0.957608879,19.11777496,1.414190292,3.38697648,2.060795307
1,-0.70721066,-0.260060787,8.670229912,6.437260628,8.384682655,8.604444504
1,-0.946216464,-0.712413847,14.84539413,5.274840355,6.733760357,6.644745827
1,-0.09777236,-1.444919348,2.835348606,3.390698433,2.792833567,2.602036238
1,-0.873680592,-1.162739396,1.89151907,2.583312988,5.374812603,5.308387756
1,-0.215534925,-0.430582523,10.19336319,4.558888435,9.352988243,4.351002693
1,-1.482571959,-0.167258263,6.447262764,5.629254818,6.502357006,0.986280441
1,-0.450207949,-0.864422679,15.68660736,0.698858142,1.471589804,9.442153931
1,-1.110530138,-0.769857824,11.81133842,6.685034275,2.183682442,5.867753029
1,-0.072249651,-0.072857618,1.045181155,2.082067013,7.196802139,4.948939323
1,-1.251593351,-0.524983227,17.31419563,3.231791973,7.797493458,0.348555386
0,-0.587622523,-1.257304311,5.610537529,4.721221447,3.836827278,8.766477585
1,-1.324163079,-1.35053587,9.661984444,3.891829967,2.063241005,1.448100805
1,-0.469825506,-0.617831826,17.64765739,2.334721088,6.056832314,8.030693054
1,-0.807877004,-0.354642749,3.836715698,1.251658678,9.95781517,7.335342884
0,-0.329309702,-1.051992416,13.3848896,5.788980007,4.907306194,3.254290581
1,-0.803876936,-1.049270868,8.11646843,4.339076996,7.206924915,1.170540452
1,-0.33330965,-0.352293849,19.8180294,2.807784557,2.174095392,9.58754921
1,-1.319385529,-0.620546937,3.541347027,0.886831641,3.830066919,5.124188423
1,-0.474603057,-1.352891207,14.30540657,5.449117184,7.805906296,4.205677986
0,-1.24977982,-1.254205346,10.89082146,6.219136715,6.030701637,6.829212189
1,-0.589436054,-0.521523893,1.340549946,1.640349627,2.08771944,2.747246981
1,-1.109402418,-0.075950623,15.14382362,3.577183962,4.934606552,1.876420975
1,-0.073377132,-0.77332288,7.156053066,5.093214512,9.929978371,8.459316254
1,-1.487360954,-0.862022281,0.351046294,2.141890764,8.409635544,7.460942268
1,-0.445418954,-0.16449666,12.35899353,4.092495918,3.361460209,3.419150352
0,-0.877692103,-0.432977915,6.156630993,6.000753403,2.764650822,1.322428584
1,-0.211523533,-1.165506005,16.60207748,1.044545531,6.760299683,7.865769863
1,-0.947332621,-1.441408634,18.20230484,1.887748837,9.343887329,0.474342048
1,-0.096656322,-0.709274948,8.960861206,6.884212017,5.385556698,8.93113327
1,-1.181777835,-0.263565779,12.67976379,4.934682369,1.479662776,5.741886616
0,-0.705408573,-0.9607535,4.375821114,3.026366472,6.494846344,4.784193993
0,-1.141158819,-0.991809607,15.62682629,5.612397671,5.214404106,5.984305859
1,-0.674253106,-0.224315047,6.428909302,0.615739346,9.087126732,4.441686153
1,-1.001146555,-0.678213239,10.21171474,2.565257549,6.311170101,0.308854699
1,-0.158561945,-1.480664968,1.951297045,4.473793507,1.245296001,9.352976799
1,-0.930075705,-1.197386265,2.853695869,5.35795927,3.547367573,1.643993378
1,-0.277789354,-0.39455092,14.90516758,3.407555819,8.650560379,7.600349426
0,-1.445219874,-0.132611156,8.610458374,1.499284983,6.924894333,7.062483788
1,-0.418715239,-0.900454462,19.09943008,6.455316067,3.019179583,3.605198622
1,-1.067318559,-0.804424644,13.40811825,1.2808218,1.762242556,2.33489418
1,-0.046616316,-0.036745787,3.891607761,5.859791756,5.65031147,8.252297401
1,-1.30212903,-0.490416288,17.59276962,3.922968864,9.626037598,6.450093269
1,-0.655736327,-1.293416142,9.638757706,2.406730652,4.540353775,3.031140804
1,-1.373233914,-1.384816766,5.555639267,3.160980225,2.484731674,5.346887112
1,-0.536474466,-0.582166195,17.2909584,4.692058563,7.603272438,3.765705585
1,-0.76320076,-0.320362091,1.068413973,6.613024712,8.129289627,0.868526161
0,-0.302211523,-1.087657928,11.86623478,2.050928116,4.203763008,9.950609207
0,-1.340394139,-1.119359851,19.00401306,5.000444889,4.510698318,8.309199333
1,-0.498455524,-0.281370163,8.207975388,3.671541214,9.515080452,2.351168394
1,-0.825428724,-0.597354412,14.52639771,1.54586339,5.611857891,2.907339096
0,-0.357717037,-1.376918435,2.7928617,6.312035084,1.660066962,6.363868237
0,-1.082357526,-1.277889967,2.481491327,5.557711124,4.244413376,4.045948029
1,-0.055195332,-0.498675346,10.43362427,0.776650131,8.22926712,5.589017868
0,-1.222545624,-0.00541544,6.67575264,2.918184757,7.635124683,9.737722397
1,-0.571076751,-0.843022048,16.19038391,4.230264187,2.593491077,0.695583224
0,-0.844587505,-0.931746483,11.31656456,3.106367826,1.055239558,4.619199753
1,-0.199035168,-0.093937755,0.826913714,4.853093147,6.079364777,6.202366829
1,-1.454444766,-0.410153031,17.06371117,6.966075897,8.923429489,9.08611393
1,-0.433107853,-1.189165592,5.011562347,1.807472825,4.956222057,0.004496509
0,-1.197482109,-1.465458035,9.714694977,0.923233151,3.18067956,7.710694313
1,-0.73566401,-0.68606168,17.97565651,6.123653412,7.185274124,1.792522073
1,-0.962492883,-0.192662954,4.289968491,3.969423294,8.838418961,3.583743811
1,-0.126356602,-1.03082037,13.48842812,2.263375521,3.781370878,7.001014709
1,-1.026549339,-0.968951106,7.236842632,6.576824665,6.789961338,3.142522335
1,-0.18094945,-0.247986794,15.54140472,1.376190186,2.875609398,7.224943638
0,-1.167105556,-0.747925282,1.724221587,3.530431986,3.399920464,8.072581291
1,-0.697195768,-1.41013968,10.9662838,5.236669064,8.511814117,1.491661787
0,-1.425498724,-1.126472712,13.76058388,4.393589973,6.454188824,8.880382538
1,-0.390279412,-0.464652777,3.314535618,2.647047758,1.379682064,0.461701274
1,-0.910166144,-0.156625509,19.57608795,0.534078121,5.353697777,4.904304981
1,-0.249176264,-0.877251923,7.567539692,5.692472935,9.235125542,5.822055817
1,-1.288066983,-0.781198502,4.940159798,1.942137837,7.995969296,9.473513603
1,-0.621275187,-0.060785174,12.92612839,6.723400593,4.06187439,1.015955925
1,-1.053445816,-0.560493112,9.183245659,4.581854343,2.337799072,4.23328352
1,-0.012332678,-1.222526073,18.73171425,3.269598007,7.465109825,5.189291
0,-0.795017898,-1.314270735,16.54080772,2.49970293,9.768472672,2.563657999
1,-0.319283247,-0.651900411,5.778607368,3.828410864,4.674224854,6.607441425
1,-1.404507875,-0.344011664,11.95576859,5.954075813,1.899853945,8.729793549
1,-0.552991271,-1.064820051,0.256068498,1.18812418,5.796696663,2.186911345
0,-1.231973052,-1.068600416,13.04331207,3.734222412,9.426550865,1.481561422
1,-0.583438873,-0.335894585,4.74485302,5.037738323,5.441870689,8.024021149
0,-1.091961622,-0.636579931,18.45827293,6.376294613,1.536525726,7.313106537
1,-0.067747116,-1.33392787,9.222314835,1.58475399,6.57805872,3.269135952
0,-0.833402038,-1.237829089,5.81766367,0.739356399,8.317616463,5.890065193
0,-0.374463081,-0.540830612,16.26737404,5.495029926,3.313404083,4.933865547
1,-1.348545551,-0.057010174,0.060749799,4.191373825,2.717143536,0.315475821
1,-0.515389562,-0.789332926,12.0729599,2.853925228,6.668829441,8.772615433
1,-0.976492226,-0.880802274,15.42422104,4.790418148,5.991967201,5.277523518
1,-0.137442589,-0.14864707,7.432148457,3.069067955,1.987477541,4.35996151
0,-1.211303353,-0.449193716,11.23972511,1.743207216,4.833814621,1.005919933
1,-0.746562004,-1.146359921,1.68515265,6.927191257,9.890693665,9.425022125
1,-1.469919682,-1.425581932,3.275479794,6.160953522,7.27256012,2.040773869
1,-0.439788699,-0.728031993,14.03401756,0.985908151,2.24853611,8.622110367
1,-0.859885752,-0.244442582,7.762858868,2.302259922,3.903957844,6.675534248
1,-0.205526352,-0.976946414,19.45889664,4.033689499,7.870992184,2.593307018
0,-0.900551319,-1.008003354,0.709730387,1.338905215,2.436658144,6.295233727
1,-0.236635447,-0.205192327,11.51187038,6.514133453,7.511270046,2.878384113
1,-1.416059136,-0.696969748,5.285003662,5.197794914,8.037836075,2.497989655
1,-0.377929449,-1.464837313,17.02464294,3.466157675,4.156238556,8.416351318
1,-1.158964872,-1.178240657,17.93659973,2.70973897,1.818539262,0.705087304
1,-0.680251002,-0.410767555,9.988128662,4.430874825,5.732991695,9.786898613
1,-1.018588185,-0.116760731,13.68374729,5.756747246,9.709266663,5.501479626
1,-0.164191484,-0.919233918,4.172777176,0.572952509,4.59719944,3.918728828
1,-1.390675902,-0.820435286,8.325159073,6.76069212,3.621791363,0.151248753
1,-0.542104125,-0.017806172,18.80870628,2.004822731,8.716213226,9.193201065
1,-0.781006396,-0.509722114,2.519420624,3.308466196,6.989997864,6.133668423
0,-0.308209181,-1.277039409,14.56546688,4.646134853,3.093053818,4.590175629
