response,contrast,pedestal,temporal_frequency,spatial_frequency,size,eccentricity
1,-1.15259397,-1.046486855,3.046627522,0.72082305,7.036864281,4.527903557
1,-0.687903285,-0.360834837,14.74137783,5.511976242,3.052233696,6.071419239
0,-1.011672735,-0.611639678,8.461746216,4.17500782,3.64626503,9.26524353
1,-0.172755241,-1.356041431,19.21899605,2.871879101,8.68788147,0.223239526
0,-0.895380437,-1.26287806,15.81914997,3.718243599,6.207810402,7.531545162
1,-0.240890384,-0.518814325,6.265731812,5.055304527,1.203649521,1.573645353
1,-1.41107893,-0.079026461,10.06239414,6.357373238,5.106760502,3.674944878
1,-0.380895853,-0.764283955,2.071475506,1.60208714,9.05853653,7.131905556
0,-1.033166289,-0.858873248,5.42158699,6.166413784,8.100632668,8.168540955
1,-0.008808136,-0.173402786,17.43493271,0.982035875,4.09619236,2.250203848
1,-1.267422318,-0.424438,1.23694396,2.306308985,2.44300437,3.116452456
1,-0.61884892,-1.168288946,11.68778896,4.028052807,7.499967098,6.533248901
1,-1.38377142,-1.450446367,13.27345371,4.794860363,9.663301468,3.836968184
1,-0.55065608,-0.706200242,4.036188602,3.063037634,4.639332771,5.4196558
1,-0.774647236,-0.266274333,17.76068497,1.748273492,1.795224428,9.87843895
1,-0.315850377,-0.952081978,9.460920334,6.923712254,5.762344837,0.79664284
1,-0.839482725,-0.989095569,10.71251869,2.705081701,4.826840401,9.655752182
1,-0.366734743,-0.232969284,1.509241819,4.43711853,9.901500702,1.236625314
1,-1.35554564,-0.669192791,15.2876339,5.751871109,5.927459717,4.138992786
0,-0.507107377,-1.483745217,7.021858215,0.576243043,2.04594636,5.056607723
1,-1.237788916,-1.205943227,7.938774109,1.333628654,3.928845644,2.657968044
1,-0.579637527,-0.391773939,19.98610687,6.517823219,7.843353748,6.740258217
1,-1.096502542,-0.135754347,3.685765505,5.193536758,7.31901741,8.547650337
0,-0.064121366,-0.891531348,14.17059898,3.472001314,2.207036018,1.966298819
1,-1.474449515,-0.801342964,18.32168961,3.781907082,1.512522221,3.353371382
1,-0.43617475,-0.045767665,8.81202507,2.444644451,6.606993198,7.39731884
1,-0.865689874,-0.481760621,12.51609802,1.142587304,9.381269455,7.92999649
1,-0.201736212,-1.296131611,4.568934441,5.898050308,5.484409332,1.387588382
0,-0.983504057,-1.393741369,0.471043438,6.779029369,2.722805262,9.02283287
1,-0.129149318,-0.579021573,12.20954895,1.988071442,6.657121181,0.565755427
1,-1.217395067,-0.323140502,5.993577957,3.325053215,8.381102562,4.693398952
0,-0.738821983,-1.079099417,16.79458237,4.627961159,3.25377655,5.649585247
0,-0.991854191,-1.11629045,13.93413925,1.686878085,5.250399113,7.291637421
1,-0.144050479,-0.29040122,3.131369352,6.274169922,9.193400383,3.210113287
1,-1.132964611,-0.588689625,19.44675636,5.138726234,6.346625328,1.423469067
1,-0.659376383,-1.379621625,7.706486702,3.633234024,1.351028442,8.006505013
1,-1.436933875,-1.286800861,7.409785271,2.752131224,3.511947155,0.373358577
1,-0.403929591,-0.495520234,15.35884666,4.293168068,8.544794083,8.790493965
1,-0.920692086,-0.008204341,1.59427762,5.393687248,6.888934135,5.911324501
0,-0.26336956,-0.834477365,11.10583878,0.840699852,2.912871838,4.993249893
1,-1.298604488,-0.929041624,16.3870697,6.826202869,1.937180758,0.951721013
1,-0.6354568,-0.102604389,5.90289402,1.844195366,5.895595551,9.408342361
0,-1.064892292,-0.401120186,12.14398003,2.966943502,9.801532745,5.255060196
0,-0.025971532,-1.192236662,0.097304344,4.892541885,4.786196709,4.296897888
1,-0.76086551,-1.474004388,4.785813332,4.135032654,2.309201717,6.698245525
1,-0.281475067,-0.683270931,13.0510273,2.200917006,7.35746336,2.65596962
1,-1.369801164,-0.195819855,9.370848656,1.087702513,7.954316139,2.095221043
1,-0.516103864,-1.021907806,18.57356262,6.059159279,3.958512545,8.638388634
0,-1.328403234,-0.965811491,2.32256484,3.36482048,7.733983994,2.438890934
1,-0.488656998,-0.25690496,10.6216917,5.299131393,2.630875349,8.394805908
0,-0.812528849,-0.739373326,6.800181866,6.41235733,4.356567383,6.277641773
0,-0.34846127,-1.412913084,16.03680801,1.440680623,8.26212883,2.820215464
1,-1.117963195,-1.135499477,18.84569931,0.673947215,5.504167557,5.519281387
0,-0.088620424,-0.46156466,8.395435333,5.655753136,1.631531,3.976535559
1,-1.258705735,-0.159347415,14.65144062,4.533018112,4.407513142,0.764395595
1,-0.603581071,-0.868591309,2.638677597,2.607596159,9.473233223,9.808081627
1,-0.88075906,-0.778426528,9.853765488,4.747910023,8.796652794,6.11706543
1,-0.231528163,-0.069335699,17.84650612,3.206690311,3.678130627,4.536053181
0,-1.490061998,-0.551576376,4.106621265,2.106159687,3.152208805,0.088261425
1,-0.466521263,-1.225664377,13.66186047,6.659354687,7.07750988,9.17081356
1,-1.184570551,-1.322929978,11.45624256,5.813065052,8.956363678,1.86468184
1,-0.726419806,-0.649179935,0.697150886,1.225986719,5.068311691,7.782568932
0,-0.950490534,-0.347098351,16.88097191,2.361417294,1.092680454,6.92974329
0,-0.116569281,-1.055794597,5.184381008,3.866720676,6.178141117,3.51096487
0,-0.936167717,-1.0771451,18.1199379,6.209891796,9.597100258,2.966441631
1,-0.270049691,-0.333105683,9.814706802,1.648006082,4.564359665,6.385407448
0,-1.452231407,-0.639735103,13.54466629,3.570546627,1.719701529,8.326795578
0,-0.41042161,-1.325016975,4.301936626,5.101438999,5.695594788,2.409330845
1,-1.146963239,-1.235125899,0.892460227,4.33204031,8.140999794,9.719917297
1,-0.670463204,-0.549495399,11.33906174,2.816409588,4.198099136,0.637782574
1,-1.00567615,-0.047979116,5.145315647,0.877987325,2.544361353,3.9866364
0,-0.154947758,-0.792402327,17.15441513,5.456374645,7.539784431,5.567841053
1,-1.377775192,-0.889714837,10.34826088,1.908467174,6.300361156,9.102720261
1,-0.532849073,-0.14549017,2.361624002,6.865080833,1.252272964,0.058613233
0,-0.769016206,-0.451984406,16.15400124,4.955235481,5.155932903,4.682190895
0,-0.29840982,-1.137813568,6.604866028,3.004224777,9.151636124,6.224747658
0,-1.074319124,-1.422510862,8.200126648,2.162038803,6.952535152,3.521001339
1,-0.03833437,-0.737064779,18.96288109,4.070760727,2.994289875,6.978233337
0,-1.308209419,-0.235775948,2.677743673,6.021878242,3.588870049,7.694335461
1,-0.648007751,-0.979651272,14.37799644,1.025008917,8.604101181,1.738004565
0,-1.243420362,-1.016664028,5.629462242,5.338012218,2.824694633,8.094044685
1,-0.597076893,-0.202470422,16.42612839,3.429088593,6.697504997,1.55068779
1,-1.102498293,-0.700057864,0.214497715,1.47798419,8.420936584,3.200608492
1,-0.081929564,-1.455810547,11.94866371,6.475029945,3.355116367,7.242463112
1,-0.79869473,-1.175467253,12.85571861,5.591485023,1.43753171,4.846427917
1,-0.337576151,-0.41931951,4.90299511,0.635066628,6.540809631,5.804173946
1,-1.314393878,-0.107842565,18.61262894,2.544923544,9.314537048,8.859128952
1,-0.477580905,-0.922373474,9.097405434,4.495714188,5.408869267,0.402313113
1,-0.942351997,-0.82946074,3.404801369,3.167803526,3.870884657,4.28747654
1,-0.099622369,-0.014719486,13.89508057,4.683648109,7.759041786,5.205974102
0,-1.17660737,-0.512442589,7.58929348,6.622056961,7.235254765,9.495970726
0,-0.709663868,-1.268380046,19.64207268,2.043480873,2.149623871,1.079023123
0,-1.480445027,-1.362716079,15.55415535,1.290248752,4.87544632,8.70708847
1,-0.453982472,-0.607116461,7.292603493,5.851951599,9.994069099,2.124244928
1,-0.871321619,-0.295411825,11.06677246,3.92939949,6.020576954,2.509216785
1,-0.219176054,-1.109758615,1.867720485,2.398714781,2.095101833,6.591158867
1,-1.419218183,-1.10046351,9.007334709,5.550857544,2.401203394,5.105088234
1,-0.39784205,-0.309158564,18.20450783,0.785091877,7.405537605,4.149019718
1,-0.903343022,-0.569566011,4.52986908,2.909182072,8.001840591,1.109938383
0,-0.257647038,-1.395814776,12.78954124,4.237679482,4.049964428,9.567509651
1,-1.021288872,-1.305581093,12.48298073,4.991035938,1.854499936,1.936660051
1,-0.185294747,-0.479670286,0.431984127,3.679362297,5.839300156,8.47956562
1,-1.162032127,-0.0244205,16.67738914,1.539415359,9.74468708,6.847949982
1,-0.700254679,-0.815330923,6.188893318,6.320070267,4.702965736,2.804115295
0,-0.789933324,-0.912665606,1.313932657,0.943148255,3.446295738,1.260985017
1,-0.32235384,-0.121910691,10.82970047,6.102150917,8.470369339,7.841841698
1,-1.399235606,-0.382180095,7.060923576,3.990756035,6.815059185,7.445888042
0,-0.557347655,-1.208246469,15.01419067,2.243630886,2.84776926,3.36348176
1,-1.281255722,-1.493333697,19.712677,3.127300262,5.289117813,5.757341385
1,-0.629734755,-0.666872084,7.977833748,4.833747864,9.29365921,4.839615345
